@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.148728,0.009594,2.829616,0.244760,0.207970,1.087682,0.013388,0.257583,-29.191069,1.721815,0.158819,-0.174011,-0.401843,-0.243148,-0.244002,0.303356,-0.189046,-0.016690,-0.181592,0.051951,-0.254507,0.011786,0.005865,0.027845,0.015336,0.020842,0.020645,0.015623,0.003152,0.005543,0.015108,0.042083,0.008760,0.024431,-0.006550,-0.000020,-0.083798,-0.003708,0.005731,-0.196025,0.000657,-0.024750,-1.009400,0.106918,0.326867,-0.045783,-0.009409,-0.043227,0.063777,0.028280,0.025677,0.011004,0.068779,-0.013321,-0.197677,-0.002338,-0.010431,-0.000129,-0.003339,-0.001014,0.003373,-0.004149,-0.000168,-0.003821,0.005680,0.030778,0.001574,0.003530,0.117841,0.013997,0.315625,0.091568,0.026803,0.450020,0.006361,0.173837,2.113693,0.763647,0.643744,0.380514,0.309157,0.278331,0.356160,0.238174,0.311460,0.260470,0.314954,0.230506,0.285349,0.015766,0.005127,0.011243,0.022534,0.029825,0.027156,0.023141,0.007130,0.005816,0.011093,0.011513,0.006991,0.011801,0.134555,0.016496,0.422992,0.102667,0.029174,0.509276,0.006390,0.181262,2.515555,0.906739,0.618373,0.446330,0.362056,0.348544,0.303367,0.272515,0.339926,0.295880,0.365077,0.281508,0.321567,0.023961,0.006598,0.015767,0.029694,0.038250,0.041031,0.025699,0.010412,0.008073,0.015331,0.015100,0.009946,0.013122,speech
0.133761,0.015371,2.606147,0.247693,0.198779,1.265466,0.014554,0.281931,-27.784554,1.190949,0.123094,-0.416922,0.046880,-0.534226,-0.132689,0.185135,-0.090196,0.028523,-0.099111,-0.079832,-0.213048,0.019072,0.006186,0.019339,0.009034,0.007972,0.017097,0.034915,0.009421,0.006535,0.009402,0.023117,0.014407,0.022729,0.002813,-0.000013,0.036566,0.007417,0.004236,0.000329,0.000279,-0.005778,-0.528520,-0.090084,0.035052,0.038256,0.029640,0.016986,0.009405,0.003390,0.017597,0.008340,-0.003918,-0.005903,-0.000694,-0.000600,-0.000219,-0.000466,-0.000567,-0.000423,-0.000493,-0.001021,-0.000254,-0.000300,-0.000728,0.004226,-0.000575,0.000382,0.068694,0.015350,0.747161,0.082390,0.045685,0.533365,0.008789,0.182870,4.757169,1.165788,0.989886,0.759969,0.606625,0.416421,0.440273,0.272626,0.257878,0.217530,0.217955,0.315554,0.253500,0.022371,0.007113,0.019053,0.010224,0.011149,0.035497,0.054542,0.016460,0.006695,0.011701,0.027709,0.024176,0.014929,0.078545,0.020527,0.993829,0.092913,0.053832,0.588576,0.010393,0.195881,4.051893,1.317170,1.113048,0.819740,0.577843,0.450908,0.573365,0.330895,0.340145,0.287351,0.294690,0.384767,0.400018,0.030032,0.010312,0.026886,0.014366,0.013857,0.052262,0.058892,0.024951,0.008683,0.018067,0.036468,0.035011,0.019497,speech
0.131818,0.016154,2.870092,0.252009,0.209824,1.165183,0.014601,0.249597,-27.192787,1.283119,-0.402136,-0.388780,-0.053440,-0.273318,0.196680,-0.027190,-0.142220,-0.045819,-0.266652,-0.111416,-0.190982,0.018480,0.006452,0.024803,0.015433,0.014008,0.005286,0.021540,0.007554,0.006061,0.013095,0.020327,0.006565,0.018568,-0.003143,-0.000012,-0.004983,-0.002033,0.000087,-0.031564,0.000445,-0.006903,-0.111870,0.002181,-0.006093,0.004157,0.003610,0.003849,0.012834,0.002111,-0.007856,-0.003452,-0.001411,0.003768,0.005387,-0.000666,-0.000066,0.000345,-0.000210,-0.000111,-0.000188,0.003267,-0.000240,-0.000130,-0.000143,0.001048,-0.000065,0.000684,0.093845,0.024099,0.478443,0.089819,0.031045,0.623286,0.008775,0.180022,3.679974,1.192795,1.128304,0.785937,0.470620,0.327914,0.382257,0.296737,0.303964,0.343320,0.306522,0.335042,0.305480,0.026206,0.008230,0.024711,0.016714,0.020098,0.005937,0.032940,0.010221,0.007116,0.022038,0.027943,0.010146,0.012368,0.124194,0.021332,0.610992,0.098178,0.039009,0.707801,0.010000,0.193155,2.915072,1.283783,1.006625,0.792503,0.648120,0.411903,0.521486,0.390218,0.382205,0.417141,0.349855,0.343200,0.341968,0.030857,0.011673,0.031574,0.023377,0.026235,0.008241,0.045910,0.011908,0.010882,0.030964,0.035403,0.014036,0.016007,speech
0.126742,0.013666,2.821805,0.226000,0.207676,1.018181,0.020848,0.213214,-27.497611,1.238917,-0.175916,-0.474666,-0.538266,-0.254383,-0.429115,-0.088232,-0.232320,0.320029,0.063937,0.132185,-0.177209,0.009878,0.007717,0.014183,0.011632,0.013637,0.015548,0.036498,0.006395,0.018148,0.017940,0.018381,0.006564,0.023270,-0.003305,0.000000,0.001834,-0.006340,-0.004131,-0.027339,0.000436,-0.001488,-0.001265,0.082053,0.037188,0.007581,-0.007072,-0.023117,0.019806,0.040533,-0.001880,-0.008756,-0.003585,0.011448,-0.001947,-0.000679,0.000295,-0.001181,-0.000181,-0.000868,0.001774,0.000852,-0.000002,-0.000208,-0.000164,-0.000552,-0.000138,0.000098,0.103171,0.021931,0.446485,0.074845,0.034024,0.593906,0.012605,0.178744,3.276387,1.041724,0.739472,0.551800,0.326201,0.326245,0.449619,0.449234,0.339131,0.410555,0.342712,0.431389,0.325930,0.015414,0.010840,0.021289,0.014310,0.019638,0.019234,0.050739,0.010779,0.027123,0.021677,0.026513,0.009036,0.013248,0.123096,0.025512,0.634342,0.087876,0.038000,0.802831,0.016291,0.240765,3.020246,1.119438,0.858279,0.674554,0.433077,0.445876,0.437415,0.480098,0.451118,0.504416,0.484672,0.552438,0.401781,0.022576,0.016599,0.026830,0.020383,0.029065,0.027076,0.053514,0.009890,0.032720,0.029111,0.034682,0.012543,0.017917,speech
0.196042,0.013761,2.661729,0.320931,0.225544,1.785645,0.009186,0.409562,-28.646844,0.266658,-0.276559,-0.014946,-0.337947,-0.001206,-0.286876,-0.011657,-0.258861,0.026589,-0.249648,0.139034,-0.000557,0.009832,0.003188,0.012582,0.006505,0.012936,0.011327,0.020759,0.003264,0.008371,0.008123,0.013526,0.012007,0.013288,0.001056,-0.000008,0.032594,-0.005215,0.000551,-0.031224,0.000155,-0.015047,-0.099423,0.032075,-0.037727,0.010479,-0.006691,0.003389,-0.017061,-0.000535,0.001485,0.024255,-0.006954,-0.004527,-0.006415,0.000029,0.000021,-0.000003,-0.000011,0.000066,-0.000006,0.000771,0.000017,0.000033,0.000019,0.002288,0.000120,0.000357,0.102293,0.021934,0.653634,0.099283,0.026333,0.638219,0.005143,0.206030,4.933815,1.229035,1.279841,0.645727,0.525327,0.383118,0.478181,0.327330,0.407277,0.330766,0.490460,0.325811,0.396258,0.016378,0.002709,0.018838,0.006543,0.016321,0.013868,0.029456,0.003774,0.012596,0.008890,0.020753,0.017517,0.009133,0.098540,0.024284,0.929591,0.099081,0.033030,0.782170,0.006437,0.235542,3.542464,1.284491,1.130288,0.750512,0.633961,0.472442,0.530200,0.420101,0.435062,0.372681,0.483631,0.412142,0.458630,0.023318,0.003771,0.025251,0.009511,0.018468,0.021576,0.029606,0.005325,0.015138,0.011901,0.023868,0.025287,0.011408,speech
0.062696,0.024832,2.809664,0.174985,0.222420,0.373657,0.041377,0.092625,-28.735162,2.461651,0.444940,0.466029,0.170297,0.144320,0.091806,-0.023353,-0.017392,-0.058500,-0.045703,0.121649,-0.083346,0.006084,0.000766,0.023674,0.005677,0.006461,0.005183,0.138853,0.000831,0.002944,0.033695,0.056690,0.000821,0.052562,-0.000731,-0.000054,0.009632,-0.000035,0.000631,-0.005026,0.001343,-0.001117,-0.059166,0.011577,0.008172,-0.000377,-0.007039,0.002902,-0.005904,0.003046,-0.002962,0.000850,0.006502,0.005822,0.001757,-0.000146,-0.000008,-0.000169,-0.000053,0.000000,0.000038,-0.003491,-0.000003,0.000009,-0.000102,0.001552,-0.000008,-0.000489,0.086130,0.026700,0.382724,0.091419,0.029145,0.603522,0.038298,0.170809,2.903538,0.681432,0.587177,0.440832,0.294071,0.202792,0.222761,0.205595,0.193107,0.234024,0.189873,0.208098,0.182000,0.008967,0.001133,0.023258,0.013122,0.008715,0.009074,0.120347,0.001327,0.004183,0.041877,0.051578,0.001463,0.026883,0.092872,0.030966,0.556709,0.099403,0.036292,0.731226,0.047662,0.209309,2.264570,0.875622,0.613693,0.418132,0.333362,0.264654,0.280620,0.232274,0.229177,0.248517,0.245167,0.215561,0.228527,0.012659,0.001273,0.030866,0.018363,0.011868,0.009342,0.140307,0.001833,0.005252,0.042433,0.068461,0.001977,0.035486,speech
0.126328,0.011855,2.783608,0.236250,0.217820,0.685584,0.028231,0.197397,-27.520230,2.364250,0.510738,0.158583,-0.137381,-0.037903,0.310163,0.136870,0.050252,-0.070498,-0.107349,0.161071,-0.128700,0.010414,0.003172,0.024660,0.007362,0.012850,0.005088,0.067980,0.000903,0.005009,0.034164,0.038008,0.004871,0.028468,0.000498,-0.000040,0.001271,0.001481,0.000132,0.007789,0.000102,0.000652,0.000415,-0.002550,0.012164,0.004447,0.001414,-0.009615,-0.003089,-0.001272,-0.002089,-0.011613,0.000355,-0.009395,-0.001293,0.000076,0.000008,0.000817,0.000016,0.000073,0.000021,0.000554,-0.000001,0.000005,0.000055,-0.000457,0.000022,-0.000041,0.153508,0.011582,0.407862,0.152951,0.031629,0.749562,0.036415,0.254893,2.885276,1.215369,0.581318,0.466311,0.389853,0.296855,0.302888,0.231643,0.231477,0.235746,0.276864,0.235533,0.207323,0.011830,0.004696,0.021599,0.008376,0.014561,0.007230,0.068853,0.001601,0.008428,0.035319,0.037026,0.007394,0.017221,0.165296,0.013076,0.598769,0.163022,0.042128,0.870062,0.044048,0.273395,3.406152,1.313938,0.658483,0.510727,0.515781,0.376301,0.392628,0.280981,0.297436,0.297645,0.330514,0.310890,0.259110,0.015871,0.006880,0.029393,0.011031,0.019312,0.010047,0.084778,0.002126,0.009556,0.039007,0.049273,0.008866,0.020797,speech
0.105507,0.028553,2.771505,0.215133,0.228218,0.638676,0.019455,0.159292,-26.743397,2.350958,0.996362,0.389003,0.013826,0.052523,0.138568,0.155715,0.003523,0.165956,-0.119242,0.200151,-0.007569,0.012129,0.001434,0.098717,0.009003,0.025403,0.005385,0.055563,0.000699,0.003405,0.006752,0.050482,0.001519,0.039195,0.007259,-0.002010,-0.004809,0.010520,0.005000,0.046025,-0.000484,0.009208,-0.171084,-0.073463,-0.017771,-0.011385,-0.019314,-0.014652,0.006363,-0.011402,-0.006668,-0.011178,-0.020105,0.010329,-0.001508,-0.000652,0.000004,-0.005066,0.000061,0.000444,-0.000331,0.008740,0.000019,0.000320,-0.000310,-0.005134,0.000023,0.000119,0.119916,0.029945,0.438981,0.119363,0.041670,0.745074,0.014908,0.221498,2.916251,0.923743,0.672588,0.381497,0.461058,0.285569,0.262018,0.227732,0.202730,0.220180,0.136251,0.133216,0.179887,0.012721,0.001776,0.070829,0.011354,0.024560,0.006151,0.055648,0.000933,0.004284,0.006278,0.037347,0.001982,0.016358,0.115659,0.032014,0.649696,0.112646,0.044397,0.859272,0.017258,0.272234,2.924769,0.940924,0.633166,0.445556,0.516667,0.360177,0.296630,0.298215,0.211688,0.269946,0.245714,0.164382,0.254485,0.016288,0.002103,0.081502,0.014551,0.026622,0.008875,0.054557,0.001063,0.005516,0.008532,0.057583,0.002577,0.019823,speech
0.120781,0.022183,2.868961,0.236806,0.234717,0.778359,0.031604,0.186469,-28.263977,1.760773,0.681126,0.489024,0.097040,0.065429,0.065627,-0.134946,-0.053622,-0.132639,-0.221673,-0.045284,-0.406737,0.060856,0.001331,0.041975,0.005017,0.003995,0.002285,0.057262,0.001258,0.001290,0.006171,0.075649,0.002670,0.046777,0.007212,-0.001544,-0.023490,0.010086,0.002643,0.074982,0.003729,0.028896,-0.349889,-0.152390,0.025462,-0.084212,0.038063,-0.028437,-0.009034,0.028868,0.037877,-0.003846,0.079704,0.013618,0.048530,-0.002820,0.000065,0.001929,-0.000058,0.000073,0.000144,0.021813,0.000016,0.000000,-0.000156,-0.013224,0.000162,0.002089,0.096470,0.033188,0.475522,0.091526,0.033989,0.745203,0.016754,0.213344,2.722779,0.971904,0.445374,0.440515,0.314354,0.239064,0.260037,0.232679,0.210156,0.197784,0.332560,0.157764,0.277094,0.070951,0.002043,0.038816,0.004519,0.003171,0.002185,0.072914,0.002571,0.001747,0.006705,0.062810,0.002868,0.020561,0.104328,0.028720,0.586950,0.100303,0.032904,0.896233,0.028754,0.254531,2.339583,1.145263,0.474127,0.357751,0.420271,0.283876,0.333933,0.325035,0.232711,0.217707,0.248910,0.180418,0.291241,0.072685,0.002557,0.042356,0.006503,0.004445,0.002962,0.072894,0.003277,0.001849,0.010119,0.063907,0.003103,0.024383,speech
0.094559,0.014223,2.931204,0.233013,0.239791,0.613079,0.023165,0.137962,-28.623735,1.956584,0.966652,0.320771,0.160320,0.204396,0.175076,0.046640,-0.030617,-0.038527,-0.174681,0.056139,-0.287440,0.013949,0.000908,0.018906,0.002724,0.004919,0.002083,0.055234,0.000691,0.001332,0.057984,0.069555,0.003327,0.040172,0.000506,-0.000023,0.001264,0.000182,-0.000245,0.002373,0.000308,-0.000024,0.008838,-0.010365,-0.002106,0.000538,-0.001077,-0.007584,-0.002558,-0.000112,-0.005585,-0.006021,-0.002082,0.004478,-0.001916,-0.000093,0.000006,0.000705,0.000014,0.000070,0.000010,-0.001485,0.000000,-0.000002,-0.000020,0.000137,-0.000001,-0.000137,0.107426,0.015876,0.405221,0.099341,0.030304,0.725718,0.021314,0.215100,3.094869,0.830518,0.469634,0.398405,0.295561,0.322298,0.260858,0.219617,0.204170,0.226916,0.234000,0.202786,0.223473,0.018533,0.001437,0.025265,0.003988,0.003605,0.002866,0.071760,0.001260,0.001641,0.068835,0.051442,0.010695,0.016674,0.123804,0.014710,0.489407,0.112265,0.035308,0.891642,0.022657,0.264450,2.680323,0.908905,0.512581,0.412307,0.321191,0.293555,0.292101,0.259569,0.247704,0.250057,0.254844,0.263762,0.251654,0.023051,0.001715,0.033158,0.005840,0.004693,0.003478,0.090516,0.001363,0.002103,0.065297,0.068974,0.014916,0.021822,speech
